acc,bioproject,organism,count,broad_cat,mbases,host,project_name,manual_annot,is_pig_assoc
SRR9032199,PRJNA539711,soil metagenome,11,other,52068,"[""not applicable""]",,(unnanotated),""
SRR30127146,PRJNA946291,freshwater metagenome,12,other,23074,,,(unnanotated),""
SRR13343635,PRJNA686811,bovine gut metagenome,11,other,13854,"[""cow""]",,(unnanotated),""
SRR13674313,PRJNA667178,freshwater sediment metagenome,8,other,25832,,,(unnanotated),""
SRR29445146,PRJNA1125130,Blautia,9,other,11685,"[""horse""]",,(unnanotated),""
SRR30201812,PRJNA1146790,anaerobic digester metagenome,16,other,12905,"[""Sus scrofa""]",,(unnanotated),""
ERR594310,PRJEB1788,marine metagenome,8,other,39384,,"[""Tara Oceans expedition (2009-2013)""]",(unnanotated),""
SRR16631311,PRJNA776043,sediment metagenome,13,other,61613,,,(unnanotated),""
SRR11714420,PRJNA622212,sediment metagenome,11,other,58167,"[""not applicable""]",,(unnanotated),""
SRR13304105,PRJNA684647,soil metagenome,13,other,12782,,,(unnanotated),""
SRR5788306,PRJNA385854,marine metagenome,13,other,53880,,,(unnanotated),""
SRR10036018,PRJNA562643,freshwater metagenome,10,other,25377,,,(unnanotated),""
SRR11482338,PRJNA623064,dust metagenome,16,other,14882,"[""Sus scrofa""]",,(unnanotated),""
SRR18653126,PRJNA823908,seawater metagenome,11,other,102065,,,(unnanotated),""
SRR20314590,PRJNA855638,seawater metagenome,10,other,65236,,,(unnanotated),""
SRR6056522,PRJNA405463,rhizosphere metagenome,10,other,34232,"[""not applicable""]",,(unnanotated),""
SRR21118922,PRJNA869873,bovine gut metagenome,8,other,17390,"[""dairy cattle""]",,(unnanotated),""
SRR12660648,PRJNA654802,marine sediment metagenome,16,other,85598,"[""not applicable""]",,(unnanotated),""
SRR13892599,PRJNA707313,cold seep metagenome,15,other,67560,,,(unnanotated),""
SRR9866650,PRJNA554776,Lawsonia intracellularis,8,other,24480,"[""Equine-4""]",,(unnanotated),""
SRR8555677,PRJNA518510,peat metagenome,9,other,15093,"[""not applicable""]",,(unnanotated),""
SRR25584937,PRJNA1003508,seawater metagenome,13,other,35404,,,(unnanotated),""
SRR10098310,PRJNA563872,bovine metagenome,10,other,12608,"[""Bos taurus""]",,(unnanotated),""
SRR5195108,PRJNA362455,rhizosphere metagenome,9,other,34355,,,(unnanotated),""
SRR16915456,PRJNA779554,soil metagenome,12,other,61738,"[""apple orchard soil""]",,(unnanotated),""
SRR23702713,PRJNA937402,peat metagenome,9,other,46584,,,(unnanotated),""
SRR6201526,PRJNA366678,freshwater metagenome,11,other,42268,"[""not applicable""]",,(unnanotated),""
SRR29884470,PRJNA1137330,peat metagenome,13,other,42865,,,(unnanotated),""
SRR23595533,PRJNA937903,soil metagenome,10,other,42855,"[""Triticum aestivum""]",,(unnanotated),""
SRR9045845,PRJNA539533,sediment metagenome,12,other,30267,"[""not applicable""]",,(unnanotated),""
SRR30681680,PRJNA1149319,soil metagenome,8,other,22778,"[""natural / free-living""]",,(unnanotated),""
SRR26937434,PRJNA1044412,compost metagenome,15,other,7054,"[""pigmanure""]",,(unnanotated),""
SRR6429800,PRJNA423296,wastewater metagenome,8,other,7528,,,(unnanotated),""
SRR30303564,PRJNA1122929,marine metagenome,9,other,31533,,,(unnanotated),""
SRR23318462,PRJNA611818,marine sediment metagenome,12,other,28087,,,(unnanotated),""
SRR12358621,PRJNA649861,mouse gut metagenome,12,other,39731,"[""BALB/c""]",,(unnanotated),""
SRR30300998,PRJNA1122929,marine metagenome,8,other,19567,,,(unnanotated),""
SRR3181136,PRJNA309291,bovine gut metagenome,8,other,7032,"[""Bos taurus""]",,(unnanotated),""
ERR3997373,PRJEB35770,lake water metagenome,9,other,53970,,"[""Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)""]",(unnanotated),""
SRR25158223,PRJNA983538,soil metagenome,8,other,26828,,,(unnanotated),""
SRR8062352,PRJNA326482,marine metagenome,11,other,20650,,,(unnanotated),""
SRR8451828,PRJNA203445,food metagenome,12,other,82898,"[""Chicken""]",,(unnanotated),""
SRR11696423,PRJNA621499,wetland metagenome,10,other,16347,"[""not applicable""]",,(unnanotated),""
SRR28298046,PRJNA1086787,sediment metagenome,15,other,17639,"[""Mangrove""]",,(unnanotated),""
SRR9032715,PRJNA539721,soil metagenome,11,other,52687,"[""not applicable""]",,(unnanotated),""
DRR046817,PRJDB4244,activated sludge metagenome,12,other,51172,,"[""Analysis of methanol-fed microbiomes""]",(unnanotated),""
SRR25158212,PRJNA983538,soil metagenome,10,other,39504,,,(unnanotated),""
SRR11845626,PRJNA634981,wastewater metagenome,14,other,13134,"[""missing""]",,(unnanotated),""
