organism,is_pig_assoc,acc,bioproject,count,broad_cat,mbases,host,project_name
bovine gut metagenome,1,ERR3211448,PRJEB31266,10,other,15288,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR3053150,PRJNA292471,12,other,8783,"[""Bos taurus""]",
Bos taurus,1,ERR2019364,PRJEB21508,11,other,22084,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,ERR3801489,PRJEB33080,12,other,19134,,
bovine gut metagenome,1,ERR3201384,PRJEB31266,8,other,16014,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3801457,PRJEB33080,11,other,19102,,
bovine gut metagenome,1,ERR3220215,PRJEB31266,11,other,20185,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR19053353,PRJNA834564,8,other,12386,"[""Holstein cows""]",
mouse gut metagenome,0,SRR12358629,PRJNA649861,13,other,61936,"[""BALB/c""]",
bovine gut metagenome,1,SRR9008936,PRJNA539664,15,other,68651,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275095,PRJEB31266,13,other,39912,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Equus asinus asinus,1,ERR10048399,PRJEB52849,16,other,116294,,
bovine gut metagenome,1,ERR3275124,PRJEB31266,12,other,35715,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
mouse gut metagenome,0,SRR12358631,PRJNA649861,12,other,63786,"[""BALB/c""]",
Equus asinus asinus,1,ERR10048398,PRJEB52849,16,other,119600,,
termite gut metagenome,0,SRR5215206,PRJNA365052,13,other,56609,"[""not applicable""]",
mouse gut metagenome,0,SRR13741619,PRJNA600179,10,other,8845,"[""Mus musculus""]",
bovine metagenome,1,SRR10098299,PRJNA563872,12,other,10247,"[""Bos taurus""]",
bovine metagenome,1,SRR17335709,PRJNA785940,9,other,7426,"[""not applicable""]",
bovine gut metagenome,1,ERR3801470,PRJEB33080,12,other,22443,,
bovine metagenome,1,SRR3067149,PRJNA298260,12,other,2647,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371369,PRJNA356291,16,other,21520,"[""Bos taurus""]",
mouse gut metagenome,0,SRR9052921,PRJNA541820,9,other,34262,"[""C57BL/6""]",
Bos taurus,1,SRR24882552,PRJNA980404,9,other,14436,,
bovine gut metagenome,1,ERR3220201,PRJEB31266,10,other,22906,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
sheep gut metagenome,1,SRR17274340,PRJNA783381,9,other,10530,"[""sheep128""]",
Equus asinus asinus,1,ERR10048412,PRJEB52849,13,other,85115,,
bovine gut metagenome,1,SRR26824599,PRJNA1040231,13,other,26683,"[""Bos taurus""]",
Bos taurus,1,SRR24891225,PRJNA981443,10,other,15312,,
bovine gut metagenome,1,SRR29517084,PRJNA1125719,9,other,13595,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371423,PRJNA356291,15,other,20820,"[""Bos taurus""]",
bovine gut metagenome,1,SRR31127845,PRJNA1153624,9,other,42188,"[""bovine""]",
Bos taurus,1,SRR24882557,PRJNA980404,9,other,15056,,
bovine gut metagenome,1,SRR21118930,PRJNA869873,10,other,18382,"[""dairy cattle""]",
