organism,is_pig_assoc,acc,bioproject,count,broad_cat,mbases,host,project_name
bovine gut metagenome,1,SRR17023465,PRJNA779163,8,other,28879,"[""cattle""]",
Equus asinus,1,SRR28806305,PRJNA1103961,8,other,13264,,
Equus asinus asinus,1,ERR10048375,PRJEB52849,15,other,107608,,
Equus asinus asinus,1,ERR10048385,PRJEB52849,15,other,125372,,
bovine gut metagenome,1,ERR3211443,PRJEB31266,10,other,26725,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3220192,PRJEB31266,10,other,20238,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR10098325,PRJNA563872,11,other,12486,"[""Bos taurus""]",
bovine metagenome,1,SRR3053145,PRJNA292471,8,other,2327,"[""Bos taurus""]",
bovine metagenome,1,SRR6512898,PRJNA420682,14,other,11903,"[""Bos taurus""]",
Bos taurus,1,ERR2019369,PRJEB21508,12,other,17873,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,SRR5371399,PRJNA356291,14,other,14070,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3588546,PRJNA322715,8,other,8304,"[""Calves""]",
Equus asinus,1,SRR28806311,PRJNA1103961,13,other,12582,,
bovine metagenome,1,SRR6512907,PRJNA420682,15,other,15518,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181112,PRJNA309291,13,other,12796,"[""Bos taurus""]",
bovine gut metagenome,1,SRR17023456,PRJNA779163,13,other,22382,"[""cattle""]",
bovine metagenome,1,SRR24963471,PRJNA984925,8,other,10472,"[""Bos taurus""]",
mouse gut metagenome,0,SRR9052925,PRJNA541820,16,other,40429,"[""C57BL/6""]",
bovine gut metagenome,1,SRR21118915,PRJNA869873,10,other,17138,"[""dairy cattle""]",
bovine gut metagenome,1,SRR2329878,PRJNA293646,9,other,7048,"[""cattle""]",
bovine metagenome,1,SRR13059284,PRJNA678365,13,other,6886,"[""Capra aegagrus hircus""]",
bovine gut metagenome,1,ERR3275130,PRJEB31266,10,other,38643,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
termite gut metagenome,0,SRR5215140,PRJNA365049,10,other,61103,"[""not applicable""]",
bovine metagenome,1,SRR10098317,PRJNA563872,14,other,12162,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220218,PRJEB31266,8,other,17722,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3201410,PRJEB31266,11,other,23162,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
termite gut metagenome,0,SRR14710898,PRJNA732531,8,other,33641,"[""Porotermes adamsoni""]",
bovine gut metagenome,1,ERR3224589,PRJEB31266,10,other,34016,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Equus asinus asinus,1,ERR10048370,PRJEB52849,15,other,105030,,
mouse gut metagenome,0,SRR12358612,PRJNA649861,14,other,56429,"[""BALB/c""]",
bovine gut metagenome,1,ERR3275100,PRJEB31266,13,other,42149,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR5683765,PRJEB43305,9,other,12366,,"[""PRJEB43305""]"
bovine metagenome,1,SRR3053149,PRJNA292471,14,other,6587,"[""Bos taurus""]",
bovine metagenome,1,SRR24963451,PRJNA984925,8,other,6225,"[""Bos taurus""]",
bovine metagenome,1,SRR3053166,PRJNA292471,13,other,6169,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275106,PRJEB31266,15,other,47835,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR13433999,PRJNA691977,12,other,24984,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275093,PRJEB31266,13,other,36335,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR13433994,PRJNA691977,11,other,20447,"[""Bos taurus""]",
bovine gut metagenome,1,SRR17023476,PRJNA779163,11,other,19368,"[""cattle""]",
goat gut metagenome,1,SRR17418350,PRJNA792486,14,other,35124,"[""Black goat""]",
bovine metagenome,1,SRR3067147,PRJNA298260,9,other,2996,"[""Bos taurus""]",
Equus asinus,1,SRR28806297,PRJNA1103961,12,other,14975,,
termite gut metagenome,0,SRR5247064,PRJNA366374,15,other,52066,"[""not applicable""]",
bovine gut metagenome,1,SRR5371393,PRJNA356291,15,other,25987,"[""Bos taurus""]",
bovine gut metagenome,1,SRR4435568,PRJNA214227,8,other,10036,"[""Bison bison""]",
bovine gut metagenome,1,ERR3224591,PRJEB31266,10,other,32607,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Equus asinus,1,SRR20707904,PRJNA860652,10,other,13789,,
bovine gut metagenome,1,ERR3275119,PRJEB31266,8,other,38536,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
goat gut metagenome,1,SRR17418328,PRJNA792486,10,other,27449,"[""Black goat""]",
bovine gut metagenome,1,SRR13343637,PRJNA686811,10,other,13840,"[""cow""]",
bovine metagenome,1,SRR3053139,PRJNA292471,8,other,2727,"[""Bos taurus""]",
bovine gut metagenome,1,SRR22213167,PRJNA898608,10,other,7650,"[""Bos taurus indicus""]",
mouse gut metagenome,0,SRR10857081,PRJNA600179,13,other,12123,"[""Mus musculus""]",
mouse gut metagenome,0,SRR12358609,PRJNA649861,15,other,49527,"[""BALB/c""]",
bovine gut metagenome,1,ERR3220206,PRJEB31266,9,other,19882,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR9037494,PRJNA420682,13,other,9733,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220180,PRJEB31266,12,other,20989,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3275135,PRJEB31266,10,other,42773,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR13059286,PRJNA678365,11,other,6697,"[""Capra aegagrus hircus""]",
termite gut metagenome,0,SRR10512951,PRJNA590611,16,other,56176,"[""Labiotermes labralis""]",
bovine metagenome,1,SRR3053216,PRJNA292471,9,other,1876,"[""Bos taurus""]",
bovine gut metagenome,1,SRR22213172,PRJNA898608,8,other,9613,"[""Bos taurus indicus""]",
Bos taurus,1,SRR24891242,PRJNA981443,9,other,12931,,
Bos taurus,1,ERR2019387,PRJEB21508,13,other,27609,,"[""Ruminomics EU FP7""]"
mouse gut metagenome,0,SRR13741607,PRJNA600179,15,other,14435,"[""Mus musculus""]",
bovine gut metagenome,1,SRR13433990,PRJNA691977,14,other,28936,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275104,PRJEB31266,13,other,45798,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Bos taurus,1,ERR2019399,PRJEB21508,10,other,22373,,"[""Ruminomics EU FP7""]"
termite gut metagenome,0,SRR10512955,PRJNA590611,13,other,54830,"[""Embiratermes neotenicus""]",
bovine gut metagenome,1,SRR3181159,PRJNA309291,8,other,10736,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181154,PRJNA309291,10,other,13330,"[""Bos taurus""]",
goat gut metagenome,1,SRR17418334,PRJNA792486,8,other,30259,"[""Black goat""]",
Bos taurus,1,ERR2019371,PRJEB21508,11,other,19866,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,ERR3801456,PRJEB33080,11,other,19233,,
bovine gut metagenome,1,SRR18394692,PRJNA815894,9,other,22714,"[""buffalo""]",
bovine gut metagenome,1,ERR3801493,PRJEB33080,10,other,17431,,
Equus asinus,1,SRR20707900,PRJNA860652,10,other,13488,,
invertebrate metagenome,0,SRR13325288,PRJNA687334,16,other,105725,"[""fruit trees""]",
Bos taurus,1,SRR24891239,PRJNA981443,9,other,13338,,
bovine gut metagenome,1,ERR3275099,PRJEB31266,10,other,40308,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR3067128,PRJNA298260,12,other,3405,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3801494,PRJEB33080,13,other,23967,,
bovine gut metagenome,1,ERR3801453,PRJEB33080,11,other,16113,,
bovine gut metagenome,1,SRR5371407,PRJNA356291,14,other,14285,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181146,PRJNA309291,9,other,14930,"[""Bos taurus""]",
bovine gut metagenome,1,SRR26824594,PRJNA1040231,15,other,33401,"[""Bos taurus""]",
bovine metagenome,1,SRR10098302,PRJNA563872,11,other,11717,,
sheep gut metagenome,1,SRR9006805,PRJNA539638,16,other,69363,"[""Ovis aries""]",
bovine metagenome,1,SRR10098326,PRJNA563872,14,other,16787,"[""Bos taurus""]",
bovine gut metagenome,1,SRR26824600,PRJNA1040231,13,other,39756,"[""Bos taurus""]",
bovine metagenome,1,SRR10098327,PRJNA563872,13,other,12261,"[""Bos taurus""]",
mouse gut metagenome,0,SRR12358625,PRJNA649861,14,other,39012,"[""BALB/c""]",
mouse gut metagenome,0,SRR6216943,PRJNA415307,12,other,99252,"[""Mus musculus""]",
bovine gut metagenome,1,ERR3275112,PRJEB31266,9,other,41060,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR3053169,PRJNA292471,11,other,5592,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3201416,PRJEB31266,11,other,25357,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3275133,PRJEB31266,13,other,38445,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR5371483,PRJNA356291,16,other,19262,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3801476,PRJEB33080,8,other,9990,,
bovine gut metagenome,1,SRR28378874,PRJNA1088235,8,other,14483,"[""Cattle""]",
sheep gut metagenome,1,SRR17274345,PRJNA783381,10,other,11351,"[""sheep123""]",
bovine gut metagenome,1,SRR17023478,PRJNA779163,13,other,21183,"[""cattle""]",
bovine gut metagenome,1,SRR13433993,PRJNA691977,14,other,26894,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220202,PRJEB31266,11,other,23549,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
mouse gut metagenome,0,SRR13741616,PRJNA600179,9,other,8857,"[""Mus musculus""]",
bovine metagenome,1,SRR6512912,PRJNA420682,13,other,9198,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3211444,PRJEB31266,11,other,25268,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR5371373,PRJNA356291,15,other,14495,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220196,PRJEB31266,12,other,26864,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
goat gut metagenome,1,SRR17418353,PRJNA792486,14,other,29935,"[""Black goat""]",
bovine metagenome,1,SRR3067135,PRJNA298260,9,other,4756,"[""Bos taurus""]",
goat gut metagenome,1,SRR17418321,PRJNA792486,9,other,27778,"[""Black goat""]",
bovine metagenome,1,SRR10098314,PRJNA563872,13,other,16631,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371489,PRJNA356291,15,other,17403,"[""Bos taurus""]",
sheep gut metagenome,1,SRR9006654,PRJNA539637,15,other,65301,"[""Ovis aries""]",
termite gut metagenome,0,SRR10512950,PRJNA590611,11,other,52714,"[""Labiotermes labralis""]",
sheep gut metagenome,1,SRR17274334,PRJNA783381,10,other,9683,"[""sheep105""]",
bovine gut metagenome,1,ERR3220181,PRJEB31266,10,other,20357,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
termite gut metagenome,0,SRR14710908,PRJNA732531,8,other,15819,"[""Neocapritermes taracua""]",
bovine gut metagenome,1,SRR22213147,PRJNA898608,8,other,8714,"[""Bos taurus indicus""]",
bovine gut metagenome,1,SRR9008933,PRJNA539663,15,other,63829,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181137,PRJNA309291,12,other,12406,"[""Bos taurus""]",
sheep gut metagenome,1,SRR17274346,PRJNA783381,10,other,10553,"[""sheep122""]",
bovine gut metagenome,1,ERR3275097,PRJEB31266,9,other,35019,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3275123,PRJEB31266,11,other,40685,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3220217,PRJEB31266,9,other,20110,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR3588552,PRJNA322715,9,other,8914,"[""Calves""]",
bovine gut metagenome,1,SRR5371463,PRJNA356291,15,other,31155,"[""Bos taurus""]",
Bos taurus,1,SRR24882567,PRJNA980404,8,other,16004,,
bovine metagenome,1,SRR3067129,PRJNA298260,13,other,3951,"[""Bos taurus""]",
bovine gut metagenome,1,SRR12150676,PRJNA620482,13,other,33507,"[""Bos taurus""]",
bovine metagenome,1,SRR6512906,PRJNA420682,14,other,9617,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371379,PRJNA356291,15,other,26097,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275102,PRJEB31266,10,other,41133,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3275107,PRJEB31266,11,other,41719,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
invertebrate metagenome,0,SRR13325280,PRJNA687334,14,other,117015,"[""avocado""]",
bovine gut metagenome,1,SRR4435569,PRJNA214227,8,other,8955,"[""Bison bison""]",
invertebrate metagenome,0,SRR12731286,PRJNA658576,10,other,54597,"[""Crassostrea virginica""]",
bovine metagenome,1,SRR3053183,PRJNA292471,9,other,5012,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3201387,PRJEB31266,11,other,15107,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR10098320,PRJNA563872,9,other,13066,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181122,PRJNA309291,11,other,16708,"[""Bos taurus""]",
Equus asinus,1,SRR28806315,PRJNA1103961,14,other,12446,,
bovine metagenome,1,SRR3053172,PRJNA292471,12,other,5648,"[""Bos taurus""]",
sheep gut metagenome,1,SRR17274349,PRJNA783381,10,other,10460,"[""sheep120""]",
Equus asinus,1,SRR28806312,PRJNA1103961,14,other,18987,,
bovine gut metagenome,1,SRR3181114,PRJNA309291,9,other,13282,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181106,PRJNA309291,13,other,17111,"[""Bos taurus""]",
goat gut metagenome,1,SRR17418345,PRJNA792486,14,other,31477,"[""Black goat""]",
goat gut metagenome,1,SRR17418342,PRJNA792486,13,other,27528,"[""Black goat""]",
bovine gut metagenome,1,SRR10393136,PRJNA571625,16,other,74412,"[""Bos taurus""]",
Equus asinus asinus,1,ERR10048373,PRJEB52849,15,other,97299,,
bovine gut metagenome,1,ERR3801486,PRJEB33080,9,other,16726,,
Bos taurus,1,ERR2019381,PRJEB21508,13,other,22553,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,SRR5371411,PRJNA356291,15,other,12002,"[""Bos taurus""]",
bovine metagenome,1,SRR10098323,PRJNA563872,10,other,11218,"[""Bos taurus""]",
mouse gut metagenome,0,SRR12398543,PRJNA655594,9,other,30249,"[""C57BL/6J""]",
goat gut metagenome,1,SRR17418338,PRJNA792486,8,other,15068,"[""Black goat""]",
bovine gut metagenome,1,ERR3275129,PRJEB31266,11,other,37601,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR24963275,PRJNA984925,11,other,10500,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275118,PRJEB31266,8,other,39276,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR22213182,PRJNA898608,9,other,6938,"[""Bos taurus indicus""]",
bovine gut metagenome,1,SRR3181150,PRJNA309291,8,other,6325,"[""Bos taurus""]",
termite gut metagenome,0,SRR14710883,PRJNA732531,10,other,17600,"[""Polyspathotermes sulcifrons""]",
mouse gut metagenome,0,SRR13741610,PRJNA600179,12,other,11755,"[""Mus musculus""]",
bovine gut metagenome,1,SRR17023455,PRJNA779163,13,other,21190,"[""cattle""]",
bovine metagenome,1,SRR24955711,PRJNA984925,9,other,11066,"[""Bos taurus""]",
goat gut metagenome,1,SRR17418354,PRJNA792486,14,other,33368,"[""Black goat""]",
bovine gut metagenome,1,SRR5371487,PRJNA356291,16,other,34774,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3201376,PRJEB31266,10,other,16871,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR26824598,PRJNA1040231,11,other,24867,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181131,PRJNA309291,10,other,11696,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220183,PRJEB31266,11,other,19840,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3224580,PRJEB31266,11,other,38600,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR3181141,PRJNA309291,8,other,8042,"[""Bos taurus""]",
bovine metagenome,1,SRR3067144,PRJNA298260,8,other,3528,"[""Bos taurus""]",
bovine gut metagenome,1,SRR22221979,PRJNA843354,12,other,13793,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220219,PRJEB31266,10,other,18492,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3220222,PRJEB31266,10,other,19635,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR21118916,PRJNA869873,8,other,17027,"[""dairy cattle""]",
Equus asinus,1,SRR28806298,PRJNA1103961,12,other,12392,,
termite gut metagenome,0,SRR5248872,PRJNA366254,13,other,51696,"[""not applicable""]",
bovine metagenome,1,SRR6512909,PRJNA420682,15,other,7664,"[""Bos taurus""]",
goat gut metagenome,1,SRR17418339,PRJNA792486,16,other,31364,"[""Black goat""]",
bovine gut metagenome,1,SRR094424,PRJNA60251,8,other,27174,,
bovine gut metagenome,1,ERR3224575,PRJEB31266,10,other,32116,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Equus asinus asinus,1,ERR10048368,PRJEB52849,15,other,119131,,
bovine gut metagenome,1,SRR5371421,PRJNA356291,16,other,28209,"[""Bos taurus""]",
bovine metagenome,1,SRR3067140,PRJNA298260,9,other,3442,"[""Bos taurus""]",
mouse gut metagenome,0,SRR12358632,PRJNA649861,10,other,56795,"[""BALB/c""]",
Equus asinus,1,SRR28806296,PRJNA1103961,11,other,14989,,
bovine gut metagenome,1,SRR18394694,PRJNA815894,13,other,22756,"[""buffalo""]",
mouse gut metagenome,0,SRR12358628,PRJNA649861,8,other,48141,"[""BALB/c""]",
bovine metagenome,1,SRR24956053,PRJNA984925,8,other,8850,"[""Bos taurus""]",
bovine gut metagenome,1,SRR22213156,PRJNA898608,9,other,6810,"[""Bos taurus indicus""]",
Bos taurus,1,SRR24891250,PRJNA981443,8,other,13051,,
bovine gut metagenome,1,ERR3275116,PRJEB31266,12,other,36194,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3220188,PRJEB31266,12,other,25718,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
termite gut metagenome,0,SRR5248970,PRJNA366257,13,other,52608,"[""not applicable""]",
bovine gut metagenome,1,ERR3211446,PRJEB31266,12,other,27533,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
termite gut metagenome,0,SRR14710889,PRJNA732531,8,other,15628,"[""Dicuspiditermes spinitibialis""]",
Equus asinus,1,SRR20707905,PRJNA860652,12,other,13047,,
sheep gut metagenome,1,SRR17274339,PRJNA783381,13,other,12955,"[""sheep129""]",
bovine gut metagenome,1,SRR12681659,PRJNA654317,16,other,51550,"[""Bos taurus""]",
Bos taurus,1,SRR24882566,PRJNA980404,8,other,13587,,
Bos taurus,1,SRR24891218,PRJNA981443,8,other,12466,,
bovine metagenome,1,SRR3053142,PRJNA292471,14,other,6406,"[""Bos taurus""]",
Equus asinus asinus,1,ERR10048407,PRJEB52849,13,other,105147,,
bovine metagenome,1,SRR10098315,PRJNA563872,9,other,10780,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275127,PRJEB31266,14,other,39968,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Equus asinus,1,SRR20707897,PRJNA860652,10,other,12946,,
bovine gut metagenome,1,SRR3181151,PRJNA309291,10,other,14860,"[""Bos taurus""]",
bovine gut metagenome,1,SRR17714295,PRJNA799789,14,other,15046,"[""Bos taurus""]",
Equus asinus,1,SRR28806306,PRJNA1103961,10,other,13817,,
bovine metagenome,1,SRR6512896,PRJNA420682,12,other,4033,"[""Bos taurus""]",
bovine metagenome,1,SRR22560190,PRJNA909573,8,other,12781,"[""bovine""]",
bovine gut metagenome,1,ERR3201415,PRJEB31266,11,other,22747,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR3053143,PRJNA292471,10,other,3496,"[""Bos taurus""]",
termite gut metagenome,0,SRR6220208,PRJNA405704,12,other,48617,"[""not applicable""]",
Equus asinus,1,SRR20707902,PRJNA860652,11,other,12743,,
Equus asinus asinus,1,ERR10048383,PRJEB52849,14,other,92344,,
bovine metagenome,1,SRR3053159,PRJNA292471,12,other,5973,"[""Bos taurus""]",
mouse gut metagenome,0,SRR13741620,PRJNA600179,13,other,10525,"[""Mus musculus""]",
bovine gut metagenome,1,ERR3224602,PRJEB31266,13,other,37278,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Equus asinus asinus,1,ERR10048402,PRJEB52849,15,other,104690,,
Equus asinus asinus,1,ERR10048394,PRJEB52849,15,other,88142,,
mouse gut metagenome,0,SRR12358624,PRJNA649861,12,other,46569,"[""BALB/c""]",
bovine gut metagenome,1,SRR28378884,PRJNA1088235,8,other,14131,"[""Cattle""]",
bovine gut metagenome,1,ERR3220208,PRJEB31266,9,other,18133,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR6512889,PRJNA420682,13,other,7612,"[""Bos taurus""]",
mouse gut metagenome,0,SRR13741613,PRJNA600179,11,other,9457,"[""Mus musculus""]",
bovine gut metagenome,1,ERR3275138,PRJEB31266,10,other,40863,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3211455,PRJEB31266,8,other,36678,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR5371461,PRJNA356291,15,other,29331,"[""Bos taurus""]",
Equus asinus asinus,1,ERR10048403,PRJEB52849,16,other,116006,,
Bos taurus,1,ERR2019376,PRJEB21508,10,other,16978,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,ERR3201389,PRJEB31266,12,other,20570,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR3053163,PRJNA292471,13,other,6029,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3224577,PRJEB31266,9,other,31431,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3224568,PRJEB31266,8,other,33210,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Equus asinus asinus,1,ERR10048388,PRJEB52849,15,other,102689,,
bovine gut metagenome,1,ERR3211451,PRJEB31266,10,other,18506,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3275136,PRJEB31266,10,other,41927,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR3053211,PRJNA292471,8,other,2019,"[""Bos taurus""]",
Bos taurus,1,ERR2019368,PRJEB21508,13,other,19824,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,ERR3275110,PRJEB31266,11,other,43428,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
mouse gut metagenome,0,SRR12358610,PRJNA649861,16,other,40213,"[""BALB/c""]",
bovine gut metagenome,1,SRR21118922,PRJNA869873,8,other,17390,"[""dairy cattle""]",
bovine gut metagenome,1,SRR22213192,PRJNA898608,8,other,6717,"[""Bos taurus indicus""]",
bovine gut metagenome,1,ERR3275134,PRJEB31266,14,other,44565,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3211447,PRJEB31266,12,other,36423,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
sheep gut metagenome,1,SRR17274351,PRJNA783381,10,other,9598,"[""sheep118""]",
bovine metagenome,1,SRR3053140,PRJNA292471,11,other,3334,"[""Bos taurus""]",
bovine gut metagenome,1,SRR28378873,PRJNA1088235,8,other,14646,"[""Cattle""]",
bovine gut metagenome,1,SRR29517086,PRJNA1125719,9,other,14917,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220211,PRJEB31266,10,other,17718,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3275094,PRJEB31266,13,other,40909,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
Equus asinus asinus,1,ERR10048408,PRJEB52849,15,other,150807,,
bovine gut metagenome,1,SRR2145287,PRJNA291523,8,other,21766,,
mouse gut metagenome,0,SRR12358630,PRJNA649861,11,other,61039,"[""BALB/c""]",
bovine gut metagenome,1,SRR13433997,PRJNA691977,13,other,39756,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3801467,PRJEB33080,11,other,18843,,
Equus asinus,1,SRR28806314,PRJNA1103961,13,other,13531,,
bovine gut metagenome,1,ERR3220189,PRJEB31266,12,other,30205,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
mouse gut metagenome,0,SRR10857080,PRJNA600179,13,other,12866,"[""Mus musculus""]",
goat gut metagenome,1,SRR17418358,PRJNA792486,9,other,29260,"[""Black goat""]",
bovine gut metagenome,1,SRR12681650,PRJNA654315,16,other,40390,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371427,PRJNA356291,15,other,19927,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371397,PRJNA356291,16,other,13485,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275092,PRJEB31266,13,other,37371,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
sheep gut metagenome,1,SRR9006804,PRJNA539638,15,other,58981,"[""Ovis aries""]",
bovine gut metagenome,1,ERR3801480,PRJEB33080,9,other,14320,,
bovine gut metagenome,1,SRR22213181,PRJNA898608,8,other,6065,"[""Bos taurus indicus""]",
bovine gut metagenome,1,ERR3275113,PRJEB31266,11,other,39600,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
invertebrate metagenome,0,SRR13325281,PRJNA687334,9,other,36491,"[""plantain""]",
bovine gut metagenome,1,SRR3181161,PRJNA309291,12,other,16582,"[""Bos taurus""]",
bovine gut metagenome,1,SRR28378880,PRJNA1088235,9,other,14875,"[""Cattle""]",
mouse gut metagenome,0,SRR6216947,PRJNA415307,9,other,44792,"[""Mus musculus""]",
bovine gut metagenome,1,SRR5371443,PRJNA356291,12,other,7549,"[""Bos taurus""]",
Bos taurus,1,ERR2019373,PRJEB21508,10,other,18528,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,ERR3211459,PRJEB31266,13,other,18202,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
